Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C0805",181.763069,-86.100000,180.000000,top
"C2","1u","C0805",181.763069,-84.300000,180.000000,top
"C3","1u","C0805",134.400000,-69.600000,90.000000,top
"C4","100n","C0603",129.200000,-69.000000,180.000000,top
"C5","100n","C0603",129.200000,-71.800000,180.000000,top
"C6","100n","C0603",129.200000,-74.600000,180.000000,top
"C7","100n","C0603",129.200000,-77.400000,180.000000,top
"C8","100n","C0603",129.200000,-80.200000,180.000000,top
"C9","100n","C0603",129.200000,-83.000000,0.000000,top
"C10","100n","C0603",132.400000,-78.200000,90.000000,top
"C11","100n","C0603",136.000000,-81.400000,90.000000,top
"C12","100n","C0603",133.200000,-81.400000,270.000000,top
"C13","1u","C0805",132.200000,-71.400000,90.000000,top
"C14","1u","C0805",161.300000,-69.000000,270.000000,top
"C15","100n","C0603",164.100000,-77.400000,180.000000,top
"C16","1u","C0805",168.300000,-75.104922,0.000000,top
"C17","1u","C0805",159.677228,-75.504922,270.000000,top
"C18","10u","C1206",154.800000,-68.200000,0.000000,top
"C19","1u","C0805",161.300000,-64.900000,90.000000,top
"C20","18p","C0603",156.200000,-72.000000,90.000000,top
"C21","100n","C0603",149.800000,-73.400000,90.000000,top
"C22","10u","C1206",169.900000,-81.300000,0.000000,top
"C23","10u","C1206",154.800000,-66.100000,0.000000,top
"D1","RED/GREEN","KingBright_KPTB",169.300000,-69.000000,270.000000,top
"D2","Schottky","SOD-128",170.800000,-85.200000,0.000000,top
"D3","Schottky","SOT-23Z",156.877228,-75.504922,270.000000,top
"D4","Schottky","SOT-23Z",144.800000,-82.400000,0.000000,top
"D5","10V","SOT-23Z",146.800000,-85.450000,180.000000,top
"L1","10u","SRN1060",154.500000,-83.400000,90.000000,top
"Q1","NMOS","SO8FLDual",141.260000,-89.150000,180.000000,top
"Q2","NMOS","SO8FLDual",163.500000,-80.500000,180.000000,top
"R1","10k","R0603",139.000000,-81.400000,90.000000,top
"R2","1M","R0603",143.400000,-80.000000,180.000000,top
"R3","10k","R0603",144.800000,-73.100000,90.000000,top
"R4","1K","R0603",129.200000,-66.000000,180.000000,top
"R5","1K","R0603",129.200000,-67.600000,180.000000,top
"R6","1K","R0603",129.200000,-70.400000,180.000000,top
"R7","1K","R0603",129.200000,-73.200000,180.000000,top
"R8","1K","R0603",129.200000,-76.000000,180.000000,top
"R9","1K","R0603",129.200000,-78.800000,180.000000,top
"R10","1K","R0603",129.200000,-81.600000,180.000000,top
"R11","8m","R2512SNS",132.900000,-93.400000,180.000000,top
"R12","2R","R1206",177.200000,-85.200000,180.000000,top
"R13","10K","R0603",162.900000,-69.000000,90.000000,top
"R14","10K","R0603",164.400000,-69.000000,270.000000,top
"R15","100R","R0603",131.800000,-81.400000,90.000000,top
"R16","8m","R2512SNS",132.900000,-88.600000,180.000000,top
"R17","10k","R0603",167.500000,-69.000000,90.000000,top
"R18","10k","R0603",165.900000,-69.000000,90.000000,top
"R19","100R","R0603",134.600000,-81.400000,90.000000,top
"R20","1M","R0603",140.500000,-85.600000,90.000000,top
"R21","10k","R0603",137.400000,-81.400000,90.000000,top
"R22","1M","R0603",168.300000,-73.500000,0.000000,top
"R23","1M","R0603",140.600000,-81.400000,90.000000,top
"R24","3M3","R0603",143.800000,-85.600000,90.000000,top
"R25","10k","R0603",142.600000,-73.100000,270.000000,top
"R26","10k","R0603",146.300000,-73.100000,270.000000,top
"R27","100k","R0603",143.400000,-76.800000,180.000000,top
"R28","75K","R0603",168.300000,-72.000000,180.000000,top
"R29","10R","R0603",168.300000,-76.700000,0.000000,top
"R30","39m","R1206",153.850000,-73.400000,90.000000,top
"R31","1M","R0603",159.700000,-72.000000,270.000000,top
"R32","1M","R0603",143.400000,-78.400000,180.000000,top
"R33","100k","R0603",159.700000,-69.000000,270.000000,top
"R34","249k","R0603",141.500000,-64.600000,0.000000,top
"R35","249k","R0603",147.500000,-64.600000,180.000000,top
"R36","33M","R0603",158.200000,-72.000000,270.000000,top
"R37","249k","R0603",144.500000,-64.600000,180.000000,top
"R38","39m","R1206",151.600000,-73.400000,90.000000,top
"R39","100k","R0603",158.200000,-69.000000,90.000000,top
"U1","BQ24650","QFN16",163.577228,-73.854922,180.000000,top
"U2","BQ77915","TSSOP-24",137.200000,-75.600000,0.000000,top
